Processing		Love2D		Comparison
Processing Sound Library Functions/Features		Implementations via Love2D Features		
				
Processing Sound Feat/Functions	Notes	Possible Implementations via Love2D	Notes	
Effects				
AllPass				
gain()		Source:setFilter()	Source:setFilter( settings ) in Love2D currently only supports three basic filters: HighPass, LowPass, and BandPass in a very limited way. AllPass is not one of the supported filters currently. However, I've recently found this LOVE2D sound processing library that has support for AllPass and more customization for BandPass, HighPass and LowPass https://love2d.org/forums/viewtopic.php?t=82944.	External Libraries/More Complex
process()				External Libraries/More Complex
stop()				External Libraries/More Complex
BandPass				
bw()	Processing’s filters are more user-friendly (named classes with freq(), res()). In L5sound we would likely create analogous classes (e.g. L5.LowPass), but internally call source:setFilter({type="lowpass", ...}). The mapping of parameters is not one-to-one (Love uses filter gains rather than direct Q factor), so some translation logic is needed. AllPass (phase shift) has no direct equivalent; could be omitted or simulated by combining delays.	Source:setFilter()	Source:setFilter( settings ) in Love2D seems to only supports three basic filters: HighPass, LowPass, and BandPass in a very limited way. You can only pass the volume, highgain and lowgain values through the "settings" table allowing little control. Researching https://love2d.org/forums/viewtopic.php?t=82944 for more support to achieve feature parity	Needs Love2D Implementation
freq()				Needs Love2D Implementation
process()				Needs Love2D Implementation
res()				Needs Love2D Implementation
set()				Needs Love2D Implementation
stop()				Needs Love2D Implementation
Delay				
feedback()	Some Processing parameters may not exactly match Love’s (e.g. Love’s reverb has roomSize, damp, tilt etc.). But overall, core features exist.	love.audio.setEffect()	Delay (called echo in LOVE2D) is one of the built in effects with a good deal of support. you can define effects with love.audio.setEffect(name, {type = <EffectType>, ...}) and apply them to sources with source:setEffect(name) and with even more customization parameters than Processing Sound. There's also this example of ModularLove, a port of ModularPlay that has some great examples of these effects: https://github.com/orllewin/love2d_modular_love?tab=readme-ov-file	Direct Wrap
process()				Direct Wrap
set()				Direct Wrap
stop()				Direct Wrap
time()				Direct Wrap
HighPass				
freq()	Similar to BandPass	Source:setFilter()	Similar to BandPass	Needs Love2D Implementation
process()				Needs Love2D Implementation
res()				Needs Love2D Implementation
set()				Needs Love2D Implementation
stop()				Needs Love2D Implementation
LowPass				
freq()	Similar to BandPass	Source:setFilter()	Similar to BandPass	Needs Love2D Implementation
process()				Needs Love2D Implementation
res()				Needs Love2D Implementation
set()				Needs Love2D Implementation
stop()				Needs Love2D Implementation
Reverb				
damp()	Similar to Delay	love.audio.setEffect()	Reverb is similar to Delay (or echo in LOVE2D) in that it also has a good deal of support already within Love2D. Although the exact implementation isn't the same between Processing and Love2D, I believe a feature-parity implementation is achieveable considering the amount of customization supported	Direct Wrap
process()				Direct Wrap
room()				Direct Wrap
stop()				Direct Wrap
wet()				Direct Wrap
Analysis				
Amplitude				
analyze()		SoundData:getSample()	Maybe by computing RMS from the sample buffer obtained using SoundData:getSample()	External Libraries/More Complex
input()	Set input to analyze	Storing some kind of reference to Source/SoundData	There could be three possible types of sources in L5. Native Love2D has SoundFile, which we can access the sound data via Decoder.read(). There's also the Oscillators/Noise that we custom implement and finally there's the recording input from RecordingDevices, which gives us the PCM data via RecordingDevice:getData( )	External Libraries/More Complex
BeatDetector				
input()		Storing some kind of reference to Source/SoundData		External Libraries/More Complex
isBeat()		Custom implementation? or possibly a library	possible references: There's this discussion in 2013 about an beat detection algorithm in Love2D https://love2d.org/forums/viewtopic.php?t=35986 and this one in 2016: https://love2d.org/forums/viewtopic.php?t=82210	External Libraries/More Complex
sensitivity()		Adjust detection threshold in our custom implementation		External Libraries/More Complex
FFT				
analyzeSample()			lua-fft library. https://github.com/h4rm/luafft. We might need to implement some sort of conversion? since luafft expects that the audio data be given as complex values	External Libraries/More Complex
analyze()			same as above	External Libraries/More Complex
input()		Storing some kind of reference to Source/SoundData		External Libraries/More Complex
PitchDetector				
analyze()		SoundData:getSample()		External Libraries/More Complex
input()		Storing some kind of reference to Source/SoundData		External Libraries/More Complex
Waveform 				
analyze()		SoundData:getSample()	seems simple enough to return a copy of PCM samples.	Needs Love2D Implementation
input()		Storing some kind of reference to Source/SoundData		External Libraries/More Complex
I/O				
AudioIn				
amp()	Love can access the mic via something like RecordingDevice = love.audio.getRecordingDevices()[1] and RecordingDevice:start(). The audio comes in as PCM; you can pull data using device:getSoundData(). (This is an advanced feature of Love 11+.) In practice, L5sound could wrap the first microphone device as AudioIn, and feed its PCM into Love’s audio output or into analysis objects.	RecordingDevice:setVolume()	 While Love2d does store audio input device capable of recording sounds in Recording Device, we might need something like a wrapper implemented around Source. We then can use the methods available to Source to easily implement the features in Processing Sound, but that's only if we can get it to wrap nicely around Source in Love2d	Needs Love2D Implementation
pan()		RecordingDevice:setPosition()		Needs Love2D Implementation
play()		RecordingDevice:play()		Needs Love2D Implementation
set()		Wrapper Function		Needs Love2D Implementation
start()		RecordingDevice:start()		Needs Love2D Implementation
stop()		RecordingDevice:stop()		Needs Love2D Implementation
MultiChannel				
activeChannel()	although we can access the recording devices via love.audio.getRecordingDevices(). Love2D 11.5 currently does not support access to the playback devices. There's been discussion about it going far back to 2022 witht this issue https://github.com/love2d/love/issues/1537 and since then it's been implemented and merged but only to the 12.0ver which isn't officially released yet in this PR https://github.com/love2d/love/pull/1805.		We can possibly look at the implementation of access to playback devices in the mentioned PR for reference and implement our own version of it or wrap around/implement in a more native Processinglike way	External Libraries/More Complex
availableChannels()				External Libraries/More Complex
usePortAudio()				External Libraries/More Complex
Sampling				
AudioSample		SoundData		
amp()		Source:setVolume()		Direct Wrap
channels()		SoundData:getChannelCount()		Direct Wrap
cueFrame()	cueFrame() is in frames	Source:seek()	Source:seek is in seconds	Needs Love2D Implementation
cue()	cue() is in seconds	Source:seek()	Source:seek is in seconds	Needs Love2D Implementation
duration()		Source:getDuration()		Direct Wrap
frames()	duration() in frames	Source:getDuration()	It seems Love2D doesn't directly support getDuration() in frames but I think it's relatively straightforward to figure that out with a known dt	Needs Love2D Implementation
jumpFrame()		Source:seek()	Difference between the source:seek() used here to implement jumpFrame() and jump() is source:seek() sets the currently playing position of the Source. With the queueable source type, this method can only work on the currently playing buffer.	Direct Wrap
jump()		Source:seek()		Direct Wrap
loop()	Starts the playback of the audiosample in a loop	Source:setLooping(true) + Source:play()	Source:setLooping(true) only sets the Source to be looping, but loop() in Processing.sound plays the audiosample as well	Needs Love2D Implementation
pan()	pan() takes a range from -1 to 1	Source:setPosition()	Source:setPosition takes x, y, z coordinates	Needs Love2D Implementation
pause()		Source:pause()		Direct Wrap
